Item Number,GCF,Illumina Filename,ONT Filename
13880,GCF_017299175.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
14028,GCF_003864015.1,ILM3_2018AL08_14028DX.fastq.gz,ONG1_2018AP01_14028DX_4C.fastq.gz
27405,GCF_000015865.1,ILM3_2019BJ12_27405D-5.fastq.gz,ONG2_2019CT04_27405D-5.fastq.gz
BAA-1386,GCF_000014925.1,ILM3_2020AI05_BAA-1386D-5.fastq.gz,ONG2_2019CE01_BAA-1386D-5.fastq.gz
25922,GCF_000743255.1,ILM3_2018AJ09_25922DX.fastq.gz,ONG2_2019BO01_25922DX.fastq.gz
10790,GCF_900186885.1,ILM3_2019AU06_10790D-5.fastq.gz,ONG2_2019AQ03_10790D-5.fastq.gz
10145,GCF_001457615.1,ILM3_2019AO06_10145DX.fastq.gz,ONG2_2019BL01_10145DX.fastq.gz
15697,GCF_900637215.1,ILM3_2019AC05_15697D-5.fastq.gz,ONG2_2019BJ05_15697D-5.fastq.gz
13880,GCF_017299575.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
BAA-2146,GCF_000364385.3,ILM3_2019AE10_BAA-2146D-5.fastq.gz,ONM2_2019AB05_BAA-2146D-5.fastq.gz
17978,GCF_001593425.2,ILM3_2018AB02_17978D-5.fastq.gz,ONG2_2019BB04_17978D-5.fastq.gz
13032,GCF_000011325.1,ILM3_2018AJ02_13032D-5.fastq.gz,ONG2_2019BG03_13032D-5.fastq.gz
35311,GCF_000270185.1,ILM3_2019BT02_35311DX.fastq.gz,ONG2_2019DB06_35311DX.fastq.gz
17978,GCF_001077675.1,ILM3_2018AB02_17978D-5.fastq.gz,ONG2_2019BB04_17978D-5.fastq.gz
53434,GCF_002848345.1,ILN1_2020AA47_53434.fastq.gz,ONG3_2020CY05_53434.fastq.gz
7050,GCF_000832905.1,ILM3_2018AG08_7050.fastq.gz,ONM2_2018AC05_7050.fastq.gz
15697,GCF_000020425.1,ILM3_2019AC05_15697D-5.fastq.gz,ONG2_2019BJ05_15697D-5.fastq.gz
14580,GCF_000008425.1,ILM3_2018AF05_14580.fastq.gz,ONM2_2018AC06_14580.fastq.gz
17978,GCF_014672775.1,ILM3_2018AB02_17978D-5.fastq.gz,ONG2_2019BB04_17978D-5.fastq.gz
14580,GCF_000011645.1,ILM3_2018AF05_14580.fastq.gz,ONM2_2018AC06_14580.fastq.gz
700819,GCF_000009085.1,ILM3_2018AK08_700819D-5.fastq,ONG2_2019BH04_700819D-5.fastq.gz
29413,GCF_000204075.1,ILM3_2019AS07_29413D-5.fastq.gz,ONG2_2019BC02_29413D-5.fastq.gz
10876,GCF_000160895.1,ILM3_2018AD05_10876.fastq.gz,ONG1_2018AK07_10876.fastq.gz
17978,GCF_013372085.1,ILM3_2018AB02_17978D-5.fastq.gz,ONG2_2019BB04_17978D-5.fastq.gz
15700,GCF_900637145.1,ILM3_2018AK05_15700D-5.fastq.gz,ONG2_2019AN02_15700D-5.fastq.gz
BAA-1116,GCF_000017705.1,ILM3_2019AB02_BAA-1116D-5.fastq.gz,ONG2_2019AP01_BAA-1116D-5.fastq.gz
29521,GCF_001025135.1,ILM3_2019CK01_29521DX.fastq.gz,ONG2_2019EA01_29521DX.fastq.gz
29521,GCF_900637095.1,ILM3_2019CK01_29521DX.fastq.gz,ONG2_2019EA01_29521DX.fastq.gz
43255,GCF_000155025.1,ILM3_2019CV08_43255DX.fastq.gz,ONG2_2019EY02_43255DX.fastq.gz
15707,GCF_900637335.1,ILM3_2020CG11_15707.fastq.gz,ONG3_2020CD02_15707.fastq.gz
27562,GCF_002224265.1,ILM3_2019AO01_27562DX.fastq.gz,ONG2_2019BK05_27562DX.fastq.gz
49226,GCF_016803895.1,ILN1_2021AC18_49226.fastq.gz,ONG3_2021AQ04_49226.fastq.gz
33560,GCF_001457695.1,ILN1_2021AA06_33560.fastq.gz,ONG3_2020DU04_33560.fastq.gz
14019,GCF_000159155.2,ILM3_2019AD02_14019D-5.fastq.gz,ONG2_2019AP02_14019D-5.fastq.gz
49619,GCF_003966485.1,ILM3_2019AS02_49619DX.fastq.gz,ONG2_2019BQ02_49619DX.fastq.gz
23350,GCF_000196735.1,ILM3_2018AF09_23350.fastq.gz,ONM2_2018AC01_23350.fastq.gz
10987,GCF_000008005.1,ILM2_2018AF05_10987.fastq.gz,ONM2_2018AC04_10987.fastq.gz
25416,GCF_001411495.1,ILM3_2019AR09_25416D-5.fastq,ONG2_2019BK01_25416D-5.fastq.gz
33277,GCF_000010505.1,ILM3_2018AB08_33277D-5.fastq.gz,ONG2_2019BB05_33277D-5.fastq.gz
8739,GCF_000019385.1,ILM3_2018AL01_8739D-5.fastq.gz,ONG2_2019BG04_8739D-5.fastq.gz
13952,GCF_000772125.1,ILN1_2020AC43_13952.fastq.gz,ONG3_2020DQ02_13952.fastq.gz
33223,GCF_000019085.1,ILM2_2019AL09_33223D-5.fastq.gz,ONG2_2019DT04_33223D-5.fastq.gz
35224,GCF_013372125.1,ILN1_2021AA31_35224.fastq.gz,ONG3_2021AB04_35224.fastq.gz
23114,GCF_000085865.1,ILM3_2019AD03_23114D-5.fastq.gz,ONG2_2019BK02_23114D-5.fastq.gz
11775,GCF_003697165.2,ILM2_2020AT03_11775.fastq.gz,ONG3_2020CE01_11775.fastq.gz
11170,GCF_000013085.1,ILM3_2019AB04_11170D-5.fastq.gz,ONG2_2019BM03_11170D-5.fastq.gz
17978,GCF_004794275.2,ILM3_2018AB02_17978D-5.fastq.gz,ONG2_2019BB04_17978D-5.fastq.gz
